agent_name,description,tools,category,model_hint,has_sensitive_data,recommended_action
csharp-reviewer,Expert C# code reviewer specializing in .NET conventions async patterns security nullable reference types and performance. Use for all C# code changes.,Read; Grep; Glob; Bash,language-reviewer,sonnet,no,PUBLISH
dart-build-resolver,Dart/Flutter build analysis and dependency error resolution specialist. Fixes dart analyze errors Flutter compilation failures pub dependency conflicts and build_runner issues.,Read; Write; Edit; Bash; Grep; Glob,build-resolver,sonnet,no,PUBLISH
data-scientist,Data analysis expert for SQL queries BigQuery operations and data insights. Use PROACTIVELY for data analysis tasks and queries.,Bash; Read; Write,specialized,sonnet,no,PUBLISH
database-reviewer,PostgreSQL database specialist for query optimization schema design security and performance. Incorporates Supabase best practices.,Read; Write; Edit; Bash; Grep; Glob,language-reviewer,sonnet,no,PUBLISH
debugger,Debugging specialist for errors test failures and unexpected behavior. Use PROACTIVELY when encountering any issues.,Read; Edit; Bash; Grep; Glob,specialized,inherit,no,PUBLISH
brand-guardian,Expert brand strategist and guardian specializing in brand identity development consistency maintenance and strategic brand positioning.,All tools,design,inherit,no,PUBLISH
image-prompt-engineer,Expert photography prompt engineer specializing in crafting detailed evocative prompts for AI image generation tools.,All tools,design,inherit,no,PUBLISH
ui-designer,Expert UI designer specializing in visual design systems component libraries and pixel-perfect interface creation.,All tools,design,inherit,no,PUBLISH
ux-architect,Technical architecture and UX specialist who provides developers with solid foundations CSS systems and clear implementation guidance.,All tools,design,inherit,no,PUBLISH
ux-researcher,Expert user experience researcher specializing in user behavior analysis usability testing and data-driven design insights.,All tools,design,inherit,no,PUBLISH
visual-storyteller,Expert visual communication specialist focused on creating compelling visual narratives multimedia content and brand storytelling through design.,All tools,design,inherit,no,PUBLISH
designer,UI/UX Designer-Developer for stunning interfaces.,All tools,design,sonnet,no,PUBLISH
doc-updater,Documentation and codemap specialist. Runs /update-codemaps and /update-docs generates docs/CODEMAPS/* updates READMEs and guides.,Read; Write; Edit; Bash; Grep; Glob,specialized,haiku,no,PUBLISH
docs-lookup,When the user asks how to use a library framework or API use Context7 MCP to fetch current documentation and return answers with examples.,Read; Grep; mcp__context7__resolve-library-id; mcp__context7__query-docs,specialized,sonnet,no,PUBLISH
documentation-writer,Technical documentation specialist for API docs user guides and architecture documentation.,Read; Write; Grep,specialized,inherit,no,PUBLISH
e2e-runner,End-to-end testing specialist using Vercel Agent Browser (preferred) with Playwright fallback. Manages test journeys quarantines flaky tests uploads artifacts.,Read; Write; Edit; Bash; Grep; Glob,testing,sonnet,no,PUBLISH
ai-engineer,Expert AI/ML engineer specializing in machine learning model development deployment and integration into production systems.,All tools,specialized,inherit,no,PUBLISH
backend-architect,Senior backend architect specializing in scalable system design database architecture API development and cloud infrastructure.,All tools,planning,inherit,no,PUBLISH
engineering-code-reviewer,Expert code reviewer who provides constructive actionable feedback focused on correctness maintainability security and performance.,All tools,language-reviewer,inherit,no,PUBLISH
database-optimizer,Expert database specialist focusing on schema design query optimization indexing strategies and performance tuning.,All tools,specialized,inherit,no,PUBLISH
devops-automator,Expert DevOps engineer specializing in infrastructure automation CI/CD pipeline development and cloud operations.,All tools,specialized,inherit,no,PUBLISH
frontend-developer,Expert frontend developer specializing in modern web technologies React/Vue/Angular frameworks UI implementation and performance optimization.,All tools,specialized,inherit,no,PUBLISH
git-workflow-master,Expert in Git workflows branching strategies and version control best practices including conventional commits rebasing worktrees and CI-friendly branch management.,All tools,specialized,inherit,no,PUBLISH
incident-response-commander,Expert incident commander specializing in production incident management structured response coordination post-mortem facilitation SLO/SLI tracking and on-call process design.,All tools,specialized,inherit,no,PUBLISH
mobile-app-builder,Specialized mobile application developer with expertise in native iOS/Android development and cross-platform frameworks.,All tools,specialized,inherit,no,PUBLISH
rapid-prototyper,Specialized in ultra-fast proof-of-concept development and MVP creation using efficient tools and frameworks.,All tools,specialized,inherit,no,PUBLISH
security-engineer,Expert application security engineer specializing in threat modeling vulnerability assessment secure code review security architecture design and incident response.,All tools,specialized,inherit,no,PUBLISH
senior-developer,Premium implementation specialist — masters Laravel/Livewire/FluxUI advanced CSS Three.js integration.,All tools,specialized,inherit,no,PUBLISH
software-architect,Expert software architect specializing in system design domain-driven design architectural patterns and technical decision-making for scalable maintainable systems.,All tools,planning,inherit,no,PUBLISH
sre,Expert site reliability engineer specializing in SLOs error budgets observability chaos engineering and toil reduction for production systems at scale.,All tools,specialized,inherit,no,PUBLISH
executor,Focused task executor for implementation work.,All tools,orchestration,sonnet,no,PUBLISH
explore,Codebase search specialist for finding files and code patterns. Read-only.,All tools (disallowed: Write; Edit),specialized,haiku,no,PUBLISH
flutter-reviewer,Flutter and Dart code reviewer. Reviews Flutter code for widget best practices state management patterns Dart idioms performance pitfalls accessibility and clean architecture violations.,Read; Grep; Glob; Bash,language-reviewer,sonnet,no,PUBLISH
gan-evaluator,GAN Harness — Evaluator agent. Tests the live running application via Playwright scores against rubric and provides actionable feedback to the Generator.,Read; Write; Bash; Grep; Glob,orchestration,opus,no,PUBLISH
gan-generator,GAN Harness — Generator agent. Implements features according to the spec reads evaluator feedback and iterates until quality threshold is met.,Read; Write; Edit; Bash; Grep; Glob,orchestration,opus,no,PUBLISH
gan-planner,GAN Harness — Planner agent. Expands a one-line prompt into a full product specification with features sprints evaluation criteria and design direction.,Read; Write; Grep; Glob,orchestration,opus,no,PUBLISH
git-master,Git expert for atomic commits rebasing and history management with style detection.,All tools,specialized,sonnet,no,PUBLISH
go-build-resolver,Go build vet and compilation error resolution specialist. Fixes build errors go vet issues and linter warnings with minimal changes. Use when Go builds fail.,Read; Write; Edit; Bash; Grep; Glob,build-resolver,sonnet,no,PUBLISH
go-reviewer,Expert Go code reviewer specializing in idiomatic Go concurrency patterns error handling and performance. Use for all Go code changes.,Read; Grep; Glob; Bash,language-reviewer,sonnet,no,PUBLISH
harness-optimizer,Analyze and improve the local agent harness configuration for reliability cost and throughput.,Read; Grep; Glob; Bash; Edit,orchestration,sonnet,no,PUBLISH
healthcare-reviewer,Reviews healthcare application code for clinical safety CDSS accuracy PHI compliance and medical data integrity. Specialized for EMR/EHR and clinical decision support.,Read; Grep; Glob,language-reviewer,opus,no,PUBLISH
implementation-agent,Full-stack implementation specialist for feature development. Has complete tool access for end-to-end implementation.,Read; Write; Edit; Bash; Grep; Glob,specialized,inherit,no,PUBLISH
java-build-resolver,Java/Maven/Gradle build compilation and dependency error resolution specialist. Fixes build errors Java compiler errors and Maven/Gradle issues. Use when Java or Spring Boot builds fail.,Read; Write; Edit; Bash; Grep; Glob,build-resolver,sonnet,no,PUBLISH
java-reviewer,Expert Java and Spring Boot code reviewer specializing in layered architecture JPA patterns security and concurrency. Use for all Java code changes.,Read; Grep; Glob; Bash,language-reviewer,sonnet,no,PUBLISH
kotlin-build-resolver,Kotlin/Gradle build compilation and dependency error resolution specialist. Fixes build errors Kotlin compiler errors and Gradle issues. Use when Kotlin builds fail.,Read; Write; Edit; Bash; Grep; Glob,build-resolver,sonnet,no,PUBLISH
kotlin-reviewer,Kotlin and Android/KMP code reviewer. Reviews Kotlin code for idiomatic patterns coroutine safety Compose best practices clean architecture violations and common Android pitfalls.,Read; Grep; Glob; Bash,language-reviewer,sonnet,no,PUBLISH
loop-operator,Operate autonomous agent loops monitor progress and intervene safely when loops stall.,Read; Grep; Glob; Bash; Edit,orchestration,sonnet,no,PUBLISH
opensource-forker,Fork any project for open-sourcing. Copies files strips secrets and credentials (20+ patterns) replaces internal references with placeholders generates .env.example and cleans git history.,Read; Write; Edit; Bash; Grep; Glob,specialized,sonnet,no,PUBLISH
opensource-packager,Generate complete open-source packaging for a sanitized project. Produces CLAUDE.md setup.sh README.md LICENSE CONTRIBUTING.md and GitHub issue templates.,Read; Write; Edit; Bash; Grep; Glob,specialized,sonnet,no,PUBLISH
opensource-sanitizer,Verify an open-source fork is fully sanitized before release. Scans for leaked secrets PII internal references and dangerous files using 20+ regex patterns. Generates PASS/FAIL report.,Read; Grep; Glob; Bash,specialized,sonnet,no,PUBLISH
performance-optimizer,Performance analysis and optimization specialist. Identifies bottlenecks optimizes slow code reduces bundle sizes and improves runtime performance.,Read; Write; Edit; Bash; Grep; Glob,specialized,sonnet,no,PUBLISH
planner,Expert planning specialist for complex features and refactoring. Use PROACTIVELY when users request feature implementation architectural changes or complex refactoring.,Read; Grep; Glob,planning,opus,no,PUBLISH
pr-test-analyzer,Review pull request test coverage quality and completeness with emphasis on behavioral coverage and real bug prevention.,Read; Grep; Glob; Bash,testing,sonnet,no,PUBLISH
behavioral-nudge-engine,Behavioral psychology specialist that adapts software interaction cadences and styles to maximize user motivation and success.,All tools,product,inherit,no,PUBLISH
feedback-synthesizer,Expert in collecting analyzing and synthesizing user feedback from multiple channels to extract actionable product insights.,WebFetch; WebSearch; Read; Write; Edit,product,inherit,no,PUBLISH
product-manager,Holistic product leader who owns the full product lifecycle — from discovery and strategy through roadmap stakeholder alignment go-to-market and outcome measurement.,All tools,product,inherit,no,PUBLISH
sprint-prioritizer,Expert product manager specializing in agile sprint planning feature prioritization and resource allocation. Maximizes team velocity and business value delivery.,WebFetch; WebSearch; Read; Write; Edit,product,inherit,no,PUBLISH
trend-researcher,Expert market intelligence analyst specializing in identifying emerging trends competitive analysis and opportunity assessment.,WebFetch; WebSearch; Read; Write; Edit,product,inherit,no,PUBLISH
python-reviewer,Expert Python code reviewer specializing in PEP 8 compliance Pythonic idioms type hints security and performance. Use for all Python code changes.,Read; Grep; Glob; Bash,language-reviewer,sonnet,no,PUBLISH
pytorch-build-resolver,PyTorch runtime CUDA and training error resolution specialist. Fixes tensor shape mismatches device errors gradient issues DataLoader problems and mixed precision failures.,Read; Write; Edit; Bash; Grep; Glob,build-resolver,sonnet,no,PUBLISH
qa-tester,Interactive CLI testing specialist using tmux for session management.,All tools,testing,sonnet,no,PUBLISH
refactor-cleaner,Dead code cleanup and consolidation specialist. Runs analysis tools (knip depcheck ts-prune) to identify dead code and safely removes it.,Read; Write; Edit; Bash; Grep; Glob,specialized,sonnet,no,PUBLISH
rust-build-resolver,Rust build compilation and dependency error resolution specialist. Fixes cargo build errors borrow checker issues and Cargo.toml problems with minimal changes.,Read; Write; Edit; Bash; Grep; Glob,build-resolver,sonnet,no,PUBLISH
rust-reviewer,Expert Rust code reviewer specializing in ownership lifetimes error handling unsafe usage and idiomatic patterns. Use for all Rust code changes.,Read; Grep; Glob; Bash,language-reviewer,sonnet,no,PUBLISH
secure-reviewer,Security-focused code review specialist with minimal permissions. Read-only access ensures safe security audits.,Read; Grep,language-reviewer,inherit,no,PUBLISH
security-reviewer,Security vulnerability detection and remediation specialist. Flags secrets SSRF injection unsafe crypto and OWASP Top 10 vulnerabilities.,Read; Write; Edit; Bash; Grep; Glob,specialized,sonnet,no,PUBLISH
seo-specialist,SEO specialist for technical SEO audits on-page optimization structured data Core Web Vitals and content/keyword mapping.,Read; Grep; Glob; Bash; WebSearch; WebFetch,specialized,sonnet,no,PUBLISH
silent-failure-hunter,Review code for silent failures swallowed errors bad fallbacks and missing error propagation.,Read; Grep; Glob; Bash,language-reviewer,sonnet,no,PUBLISH
agents-orchestrator,Autonomous pipeline manager that orchestrates the entire development workflow — the conductor who runs the entire dev pipeline from spec to ship.,All tools,orchestration,inherit,no,PUBLISH
mcp-builder,Expert Model Context Protocol developer who designs builds and tests MCP servers that extend AI agent capabilities with custom tools resources and prompts.,All tools,specialized,inherit,no,PUBLISH
workflow-architect,Workflow design specialist who maps complete workflow trees for every system user journey and agent interaction covering happy paths failure modes and recovery paths.,All tools,planning,inherit,no,PUBLISH
tdd-guide,Test-Driven Development specialist enforcing write-tests-first methodology. Use PROACTIVELY when writing new features fixing bugs or refactoring code. Ensures 80%+ test coverage.,Read; Write; Edit; Bash; Grep,testing,sonnet,no,PUBLISH
test-engineer,Test automation expert for writing comprehensive tests. Use PROACTIVELY when new features are implemented or code is modified.,Read; Write; Bash; Grep,testing,inherit,no,PUBLISH
accessibility-auditor,Expert accessibility specialist who audits interfaces against WCAG standards tests with assistive technologies and ensures inclusive design.,All tools,testing,inherit,no,PUBLISH
api-tester,Expert API testing specialist focused on comprehensive API validation performance testing and quality assurance across all systems and third-party integrations.,All tools,testing,inherit,no,PUBLISH
evidence-collector,Screenshot-obsessed fantasy-allergic QA specialist. Requires visual proof for everything. Defaults to finding 3-5 issues.,All tools,testing,inherit,no,PUBLISH
performance-benchmarker,Expert performance testing and optimization specialist focused on measuring analyzing and improving system performance across all applications and infrastructure.,All tools,testing,inherit,no,PUBLISH
reality-checker,Stops fantasy approvals — evidence-based certification specialist. Defaults to NEEDS WORK and requires overwhelming proof for production readiness.,All tools,testing,inherit,no,PUBLISH
test-results-analyzer,Expert test analysis specialist focused on comprehensive test result evaluation quality metrics analysis and actionable insight generation from testing activities.,All tools,testing,inherit,no,PUBLISH
workflow-optimizer,Expert process improvement specialist focused on analyzing optimizing and automating workflows across all business functions for maximum productivity and efficiency.,All tools,specialized,inherit,no,PUBLISH
tracer,Evidence-driven causal tracing with competing hypotheses evidence for/against uncertainty tracking and next-probe recommendations.,All tools,specialized,sonnet,no,PUBLISH
type-design-analyzer,Analyze type design for encapsulation invariant expression usefulness and enforcement.,Read; Grep; Glob; Bash,language-reviewer,sonnet,no,PUBLISH
typescript-reviewer,Expert TypeScript/JavaScript code reviewer specializing in type safety async correctness Node/web security and idiomatic patterns. MUST BE USED for TypeScript/JavaScript projects.,Read; Grep; Glob; Bash,language-reviewer,sonnet,no,PUBLISH
verifier,Verification strategy evidence-based completion checks and test adequacy specialist.,All tools,specialized,sonnet,no,PUBLISH
writer,Technical documentation writer for README API docs and comments.,All tools,specialized,haiku,no,PUBLISH
